customer_key,customer_name,customer_address,nation_key,phone_number,account_balance,market_segment,comments
197,Michael Collins,"52013 Goodman Overpass Suite 828
Lake Jared, NY 15515",10,+1-531-620-2356x84449,8543.76,Segment_A,Give institution shoulder short note receive.
198,Christina Ho,"20382 Jason Road
Diazmouth, AZ 18304",7,679.622.8629x8206,8208.42,Segment_C,Against those product fill.
199,Eric Reynolds,"307 Allen Mountain
Lake Jameschester, VT 24646",12,(585)309-0240,160.96,Segment_B,Carry science collection full wonder.
200,Travis Stokes,"2121 Logan Prairie
North William, IA 20734",5,001-783-836-3820x48327,1876.32,Segment_A,Force number suddenly check accept.
201,Stephen Baker,"501 Eric Lodge
South Laura, IA 07272",14,492-471-6553,1669.18,Segment_B,Couple enjoy go million.
202,William Sanchez,"01324 Farrell Bridge
West Barbara, NC 15768",6,(523)964-3197,8847.16,Segment_A,Public would truth follow let stop already.
203,Antonio Porter,"589 Ashley Centers Suite 131
Lesliebury, PW 62910",17,(641)917-7354x873,3815.69,Segment_A,Feel able trouble probably.
204,Maria James,"02192 Crystal Forks Apt. 930
Joycetown, AZ 17688",13,597-869-7408,3881.82,Segment_A,Federal cut fast industry.
205,Marcus Smith,"981 Cruz Field Suite 659
East Donaldmouth, KY 08055",12,(826)769-1386,4094.66,Segment_B,Common want participant south.
206,Richard Curry,"USCGC Webb
FPO AA 88544",20,001-537-217-5520x2279,5477.2,Segment_A,Kind participant stay high.
207,Dominique Green,"079 Cisneros Cape Suite 827
Cruzberg, VI 07241",4,272.203.4683,6239.4,Segment_A,Partner knowledge perform.
208,Terry Perez,"8413 Lindsey Junction
New Richard, NV 27277",17,(606)502-3646x1794,8083.52,Segment_B,Smile last not site expect late.
209,Rebecca Meadows,"75335 Thomas Island Suite 014
Josephfurt, SC 92117",18,816.394.0798x5153,7982.69,Segment_A,Parent political prevent those.
210,Laura Daugherty,"23522 Wood Islands
West Sarahville, TN 77785",6,(961)625-3758x4940,3427.22,Segment_A,Better unit machine message election stand of.
211,Courtney Wood,"Unit 3326 Box 2761
DPO AP 70964",5,+1-883-599-0676x87435,8606.93,Segment_C,Reduce make practice painting nature main.
212,Angela Willis,"806 Peggy Crest Apt. 550
New Shawnmouth, TN 72208",8,630.560.7521x7192,9659.22,Segment_B,Feeling door candidate street choose.
213,Emily Schmidt,"Unit 9977 Box 8346
DPO AP 01022",5,(398)347-4511,3425.05,Segment_A,Others pattern interest.
214,Kevin Jenkins,"21474 Linda Isle
Lake Jessefort, CT 63721",20,001-634-396-9337,7870.93,Segment_B,Trade form hope guess town yeah church.
215,Daniel Bryant,"Unit 7297 Box 3899
DPO AA 03172",10,001-847-211-7287x9052,830.89,Segment_A,Sing matter several member next turn entire.
216,Angela Hale,"196 Susan Shores
South Elizabeth, MD 90762",5,001-614-387-8792,2304.62,Segment_B,Sport thought may you program too stage.
217,Margaret Guzman,"70645 Wong Mill Apt. 287
Robertberg, KY 27488",20,001-639-236-4061x3667,5234.88,Segment_A,Care some music hear.
218,Erin Reed,"944 William Creek
Crosbyborough, VA 64371",9,821-418-9403,2171.53,Segment_C,Later boy particularly newspaper.
219,Steven Bates,"53307 Carter Cliffs
Smithview, NV 12581",8,603.228.5778x0627,8851.0,Segment_A,Wife network apply.
220,Linda Harris,"577 Danny Corners
Melissaborough, NE 96787",7,+1-840-920-4297x983,5034.41,Segment_C,Clearly himself security small.
221,Trevor Mullins,"2603 Cindy Street
Wagnerton, IN 56949",10,001-982-898-5984x82976,3957.54,Segment_B,Number direction product friend.
222,Ricky Castro,"27458 Matthew Manors
New Jose, GU 62444",4,001-729-390-0813x354,3044.44,Segment_A,Office thousand buy but across.
223,Mikayla Little,"70513 Gregory Pass Suite 843
West Taylorfort, WI 35934",15,455-844-1229x88459,9017.21,Segment_A,Me account those trade respond.
224,Allen Pierce,"0554 Turner Isle Suite 421
South Jennifer, MP 30167",1,201.856.4475x89276,9916.03,Segment_A,Everybody international fact challenge meeting capital.
225,Mary Contreras,"84310 Michael Extension
East Nicholas, FL 77460",10,001-411-468-7416x721,5557.37,Segment_A,Special though scientist.
226,Stephanie Stevens,"038 Perkins Path Apt. 825
Kingmouth, NC 36129",3,+1-327-822-5133x322,6697.13,Segment_B,Event mouth expect style.
227,Deanna Edwards,"PSC 2480, Box 7526
APO AE 52431",19,(790)308-0862x685,5406.21,Segment_A,Left long whom yard pattern safe.
228,Derek Russo,"Unit 4722 Box 2728
DPO AP 08531",15,(502)719-0712x231,191.89,Segment_B,Positive partner party thus these key apply foot.
229,Kendra Floyd,"6623 Rivera Inlet Suite 669
New Gina, MI 33487",6,001-565-521-3729x9146,6622.53,Segment_C,Arm whom young history difference nice full.
230,Mary Cooper,"4932 Collins Cliffs
North Richard, FL 37958",5,+1-834-472-4410x747,325.5,Segment_A,Some family debate.
231,Debra Trujillo,"424 Sanchez Forest
Bennettburgh, NH 46756",2,886-694-0947,7441.69,Segment_C,Partner care program.
232,Yolanda Ryan,"9794 Maddox Falls
New Arielmouth, WI 70740",13,543.989.1372x9569,4701.63,Segment_A,Allow explain small magazine lot.
233,Megan Herman,"6949 Coffey Ports
Justinfurt, PA 55113",12,001-948-334-4080,1832.21,Segment_B,For hope system.
234,Cynthia Kaiser,"69752 Kelly Circles Apt. 451
Hollychester, NH 65833",2,542.448.4501x6226,3560.86,Segment_C,Center work smile start front ground government involve.
235,Amanda Gutierrez,"558 Cheyenne Roads
North Jeffrey, AK 13868",15,967.605.5720x9990,7315.92,Segment_C,Large style few tonight most she who.
236,Nicole Valdez,"51528 Cruz Neck
Danielfurt, PA 88765",9,726-481-6946,9033.71,Segment_A,Read garden alone memory general he suggest himself.
237,Melinda Stanton,"682 Hunter View Suite 462
Haleyport, NM 97495",13,+1-317-626-5946x739,2061.88,Segment_B,Why some show agree interest.
238,Nancy Howell,"6927 Cody Route
East Lisa, NE 66169",4,+1-860-470-4855x231,1068.61,Segment_A,Must their whatever simple either sing scene.
239,Madison Rogers,"56043 Courtney Views
Kathrynstad, NE 72529",18,001-459-615-9924x918,1832.14,Segment_A,Real home program include challenge.
240,Lori Johns,"95444 Dennis Light Apt. 370
South Daniel, WY 21093",12,001-704-927-3959x3723,5795.75,Segment_B,Parent support bring perform.
241,Kathryn Hughes,"828 Murphy Glens
West Tammy, CA 27860",18,(210)854-4293,8127.41,Segment_B,House space culture interview.
242,Roberto Tucker,"16564 Nathaniel Mission
Lake Hollyburgh, NM 45371",4,+1-410-760-6811x39425,1784.06,Segment_A,Tax those remain network.
243,Kaylee Mullen,"3095 Powers Station
North Ashleyburgh, MH 67887",1,582.227.7167x9255,825.06,Segment_C,Opportunity especially movement life front some.
244,David Bell,"333 Mitchell Oval Apt. 266
Hodgesport, MH 21556",13,001-930-882-3736,1647.34,Segment_B,Long common wife public information see.
245,Shannon Johnson,"0044 Wilson Forest Apt. 033
Port Lawrence, ND 22511",9,+1-379-751-0204,3108.98,Segment_B,Bed office book accept.
246,Tony Jackson,"2583 Rose Harbors
Charleshaven, MS 34048",12,001-843-373-0344x945,780.24,Segment_C,Field carry close agree seven.
247,Jeffrey Johnson,"87126 Ellis Parks
Carolshire, AK 34482",14,(780)437-2531,5524.58,Segment_C,Article some section summer.
248,Mark Obrien,"99702 Anna Villages
East Miguel, FL 66646",9,2185648743,1110.81,Segment_B,Positive senior art Mr happy seek candidate.
249,Lisa Hudson,"PSC 9702, Box 4547
APO AE 63054",11,+1-879-774-8827x1168,5486.45,Segment_B,Allow know difference race know out air.
250,Jessica Collins,"6007 Corey Corner Apt. 710
Smithburgh, RI 22905",5,001-514-821-0249x19384,5818.36,Segment_B,Modern suffer face study president store.
251,Mrs. Sarah Ortiz,"827 Kevin Prairie
South Todd, HI 49265",14,259.936.3341,2516.93,Segment_C,Since for window.
252,Kathryn Luna,"36922 Kelli Ramp
East Royfurt, MH 77989",4,+1-667-374-7581x150,6148.75,Segment_B,Your development shoulder coach expert summer.
253,William Miller,"8115 Townsend Land
Tracyport, MT 07106",11,875-440-0194x37370,811.31,Segment_B,Firm himself any traditional.
254,William Dean,"895 Gonzalez Rest Suite 482
Beckerhaven, UT 43597",15,(760)784-8984,2100.39,Segment_A,Less no teacher avoid pattern.
255,Jared Lee,"738 Mike Path
Davidland, IA 06304",4,6008817318,5663.06,Segment_C,Hair hear us.
256,Sharon Zimmerman,"34977 Davies Via
Port Breanna, SD 61936",8,693.761.1071x0973,1343.72,Segment_B,Us majority chance trade message writer remember take.
257,Judy Rodgers,"Unit 1657 Box 7179
DPO AE 85461",7,4887599778,6307.3,Segment_A,Bed along station carry everything pull.
258,Lisa Hill,"952 Larsen Unions
New Shannon, MS 61484",7,491.997.6045x979,922.77,Segment_B,Mrs a memory most.
259,Brianna Coleman,"Unit 4516 Box 3978
DPO AP 67867",20,001-274-594-4826x755,5665.96,Segment_C,Address determine building TV feeling from.
260,Bradley Miller,"3552 Hill Rest
Tracytown, IL 86571",15,221.641.3304,631.77,Segment_A,Field option finish big who.
261,Laura Garner,"248 Green Harbors Apt. 238
Cherylchester, KY 99865",5,421-709-2720,8697.49,Segment_C,Others leave through manager.
262,Hayden Bell,"Unit 0540 Box 8109
DPO AP 07633",5,583-247-9165x45018,953.82,Segment_B,As region mouth chair figure little data.
263,Louis Carey,"USNS Morgan
FPO AP 13113",14,688-489-0558,823.68,Segment_B,Three sort history within.
264,James Rivera,"5021 Rachel Ports
Saraburgh, DE 93364",11,260-504-6662x7519,4639.65,Segment_A,Three beyond pass since really mouth bank picture.
265,Nancy Taylor,"817 Franklin Rue
South Ashleeshire, NY 91567",2,678.433.1547,2108.12,Segment_C,Real benefit else its of organization away.
266,Joseph Owens,"1451 Haynes Place
North Annashire, LA 54568",7,001-708-848-1976,2510.19,Segment_B,Social protect husband goal first sometimes then.
267,Deborah Peterson,"71625 Leah Wells
Grosshaven, KS 44978",18,(237)738-9646x7016,4171.05,Segment_A,Process reflect subject economy nature force skin year.
268,Daniel Payne,"1975 Zachary Parkways Apt. 895
Bensonburgh, MN 42045",11,(631)835-1544,1705.07,Segment_B,Kitchen election late politics pretty resource summer.
269,Beverly Mendoza,"10963 Thomas Crossing
Lake Williamstad, CO 70491",16,+1-908-991-4224x955,700.66,Segment_A,Name far doctor rule.
270,Dennis Stone,"159 Powell Meadows
New Elizabeth, NV 44579",13,(893)732-7033x02703,1276.97,Segment_C,Give should toward toward mind purpose tend.
271,Mr. Terry Mitchell DDS,"Unit 7839 Box 0325
DPO AA 22602",12,(552)697-1675x003,9494.42,Segment_C,Expert build side actually dream key near human.
272,Ian Jones,"1002 Norris View Suite 887
South Austinmouth, WI 16047",15,+1-635-821-0384x936,9091.89,Segment_B,Care method could bit rather check after.
273,Holly Gallagher,"Unit 0417 Box 3535
DPO AE 81593",13,+1-341-348-0552x71506,6287.08,Segment_C,Than smile store well.
274,Vanessa Ramos,"34440 Welch Forge Apt. 033
Lake Mario, PR 47627",9,851-714-5248x6947,8036.89,Segment_C,City development huge work heart when.
275,Stefanie Henderson,"027 Holly Port Apt. 177
Youngchester, OH 19694",15,728.667.9763x839,2588.14,Segment_C,Score sit past side nothing under.
276,Jason Perry,"4971 Paul Overpass
North Sharon, WI 79816",2,(868)457-0442x66194,1006.91,Segment_A,Parent food continue effort significant occur form industry.
277,Darius Tate,"1448 Wendy Mills Apt. 122
New Jameschester, CA 04618",2,(594)598-4665x76067,5193.78,Segment_B,Especially road ten.
278,Ralph Myers,"928 Oliver Rue
Colinfort, NC 65474",4,867-494-0456,8222.89,Segment_B,Culture condition religious hit can travel.
279,Gregory Green,"821 Bryan Streets
East Paul, NH 53656",18,(903)341-6254,6860.49,Segment_A,Responsibility what product site message trade game.
280,Keith Taylor,"713 Krista Streets
Harrisonport, IA 49724",12,575-699-1286,2406.2,Segment_A,His hundred responsibility religious hot care reality.
281,Matthew Khan,"096 Rhodes Meadow Suite 198
East Dawn, RI 26442",18,001-943-509-2812x418,3680.71,Segment_A,Air marriage happy against next measure chance.
282,Ryan Cruz,"978 Alvarez Wall
Port Matthewville, WA 51274",18,350.394.5591x7962,2889.14,Segment_B,Like control over future church certain rise.
283,Corey Hayes,"18957 Daniel Path Suite 293
Mitchellville, WA 32108",19,(870)785-1963x7042,4875.0,Segment_A,Image hotel professor.
284,Scott Peters,"094 Turner Branch Apt. 781
New Vanessatown, TX 61657",8,001-323-835-2102x54536,6804.16,Segment_C,Until camera nor operation suddenly traditional.
285,Raymond Deleon,"67616 Jason Gateway
Deborahton, AZ 64551",9,+1-557-441-6398,9462.17,Segment_A,All play senior practice thought least see ago.
286,Debra Benson,"76214 Massey Course
North Thomasfurt, SD 10249",14,001-684-205-6347x4909,3125.48,Segment_B,Money site heart.
287,Jeffery Rios,"9080 Cooper Curve Suite 931
South Nicholasburgh, DC 43826",3,(890)956-1935x25854,3614.65,Segment_A,Role green television language participant stage realize natural.
288,Frank Roberts,"8006 April Dam
Lake Bonniebury, NC 01751",2,559.375.4099,9546.95,Segment_B,Onto film so myself model hear down.
289,Jasmin Jefferson,"7965 Monique Isle
Stephensbury, SC 43129",10,240.349.5892x431,5693.15,Segment_B,Author along oil any.
290,Jared Hendricks,"5496 David Rest
Conniestad, WV 80034",15,001-812-248-3579,6244.1,Segment_C,Front boy city resource still minute office yes.
291,Antonio Stevenson,"737 Christina Neck Apt. 717
Terriberg, ME 64773",15,001-319-806-7421x2754,6985.45,Segment_C,White paper home perhaps environment million indeed.
292,Tyler Stewart,"26113 Kevin Cliff Apt. 784
New Anita, NM 40283",7,(507)525-2968x67478,8755.53,Segment_A,Letter modern real man her live.
293,Matthew Nguyen,"47423 Romero Trail
Cooperberg, PR 21621",10,001-624-498-3654x1080,6025.12,Segment_B,Next opportunity generation around thank both ok.
294,Wendy Greene,"8290 David Loaf Suite 276
Isaacshire, AK 16347",1,3803302322,9894.25,Segment_C,Bill particularly until.
295,Charles Kelly,"34831 Eugene Track Apt. 977
Lindaview, NE 80358",17,8923886974,3275.37,Segment_C,Thank education town same ready.
296,Tanya Mccall,"PSC 8660, Box 2277
APO AA 98036",6,436-381-8982x84847,8261.6,Segment_B,Worry region fact lose spend security.
297,Joseph Ellis,"3096 Clinton Walk Suite 960
West Michael, GA 66218",8,+1-992-931-2259x8856,6073.61,Segment_B,Amount compare security after yes.
298,Evan Patterson,"230 Brian Garden Suite 057
East Kimberlyshire, WA 57691",14,001-665-555-1234,844.92,Segment_B,Congress policy source science teach company if.
299,Billy Smith,"Unit 6229 Box 4346
DPO AA 56107",17,+1-756-578-0482x5022,5883.54,Segment_B,Care recognize you weight suddenly.
300,Michael Wilson,"8356 Carter Manors
Pamelaport, MI 54463",9,001-513-212-3790x2650,6516.08,Segment_C,Rather say grow type hold gas.
301,Louis Kim,"066 Smith Camp
East Deborahstad, UT 15235",1,+1-251-661-9339,5062.84,Segment_A,Rate account final project top significant voice industry.
302,Michelle Smith,"881 Wheeler Crossroad Apt. 057
Jonesshire, IN 53954",3,9684751591,1961.12,Segment_C,Fine baby open person.
303,Jeffrey Green,"4842 Thomas Walk Apt. 924
Rebeccaborough, WY 97085",1,4292887862,7297.86,Segment_B,Might power grow doctor.
304,Amanda Gonzalez,"85317 Davidson Isle Apt. 979
Kingview, MT 76631",5,(619)741-6243,5824.83,Segment_B,Only explain issue near call last professor.
305,Sean Ali,"022 Maxwell Lake
South Jacob, FM 51464",20,(532)468-3778x31823,1664.44,Segment_B,Apply political successful responsibility put part.
306,Sandra Contreras,"95011 Garcia Viaduct Suite 541
South Kathleen, CO 17198",5,265-278-5933x71160,9440.59,Segment_A,Try although magazine however firm need.
307,Kristy Cisneros,"067 King Alley
Brandonstad, MT 14516",19,001-665-669-8485x817,2355.51,Segment_C,Other from dream claim so mission suggest.
308,Kathleen Bird,"4077 Ortega Forks
Juliaton, TX 42795",19,+1-625-891-9954,272.47,Segment_C,Less small catch receive would candidate.
309,Joseph Schneider,"23610 Moore Cove
North Williamfort, PW 79984",11,697.747.1438,2662.52,Segment_C,See live office once.
310,William Curry,"8034 Tracy Pass
Lake Kelly, PR 85691",12,+1-502-587-7314x692,232.72,Segment_A,Institution yard child.
311,Colleen Perry,"1491 Taylor Port Apt. 394
West Suzannemouth, LA 07987",7,(431)829-6238x512,9516.58,Segment_C,Hot leg his seat.
312,Mrs. Kaitlin Young MD,"3281 Allen Common Apt. 989
Wangfort, NM 13626",8,5175911010,1794.76,Segment_B,Attorney fund read short close age remember.
313,Karen Cox,"3632 Jeffrey Estates Suite 392
Staffordfurt, CT 71476",6,(242)926-8461x10286,6944.17,Segment_B,Trial fact thing start pass.
314,Jacob Nichols,"660 Dunn Hills Apt. 353
South Kathryntown, WI 96918",10,+1-450-221-3445x8015,58.45,Segment_B,News message deal responsibility career end rise.
315,Alison Moon,"918 Roy Course
Barbaramouth, ND 60067",13,4255285818,4458.65,Segment_A,Audience board house discover worker.
316,Daniel Ellis,"1240 Green Radial Apt. 958
Rojaston, OK 80631",17,897.907.1794x76880,8182.56,Segment_A,Business real threat heart.
317,Bryan Rodriguez,"7718 Robinson Inlet
New Danielmouth, VT 73415",2,307-267-9888x29942,6172.49,Segment_A,Professional card choose bit avoid.
318,Wendy Owens,"28720 Gonzales Dam Apt. 524
Jeanneland, ND 78053",13,2403504027,1177.12,Segment_C,Operation just theory performance must each.
319,Abigail Rose,"3166 Elizabeth Plains
Whiteheadbury, NC 10058",1,(714)623-6984x7849,1894.82,Segment_C,Little operation management set keep.
320,Sarah Shaw,"PSC 8515, Box 0050
APO AP 20287",2,(745)280-0501x3507,4300.86,Segment_C,Improve seem about rather.
321,Tracy Carlson,"245 May Radial
New Vincentchester, WV 80302",11,545-620-3374,6323.68,Segment_C,Up like expert new agent writer car.
322,Hayley Green,"6623 Andrea Stream Apt. 845
Frederickport, DC 60630",19,554.495.8406,6901.84,Segment_B,Grow manage heavy author data agent wrong.
323,Dwayne Andrews,"0467 Smith Springs Apt. 810
Ernestshire, MA 62096",16,+1-856-548-9637x3302,2295.57,Segment_B,Mouth at central effort feeling.
324,Robert Wolfe,"1457 Simpson Forest Apt. 049
Lake Cassandraberg, OH 50370",12,001-834-577-5263x93357,3945.46,Segment_B,Decide community audience anyone wall south.
325,Danielle Hughes,"Unit 9345 Box 0805
DPO AE 22840",6,+1-595-831-1666,7612.7,Segment_A,Third blood television.
326,Philip Carter,"935 Cook Hill Suite 959
Lake Scott, MT 60148",12,9358821337,8221.37,Segment_B,Baby practice hand answer past.
327,Amber Miller,"009 Kayla Springs
New Hannah, PR 27799",10,912-718-9036,6806.58,Segment_A,Trouble just bank chance already.
328,Cheryl Davis,"043 Henderson Garden Suite 441
Acostaview, IL 00882",7,494.322.6141x30221,4898.05,Segment_B,Sea do truth treatment discover wide body.
329,James Smith,"71794 Turner Heights
Port Peter, NJ 70041",4,001-861-327-5048x782,1486.02,Segment_C,Author instead writer information onto.
330,Julie Todd,"0719 Harris Flats Suite 867
Lisafort, FM 73006",15,+1-904-427-4224x62753,925.56,Segment_A,Time term create impact today daughter hope.
331,Rhonda Rivas,"73160 James Rapids
Stevensfort, FL 46755",14,+1-212-652-6310,3372.52,Segment_B,College describe maybe leg product.
332,Donna Reynolds,"PSC 8927, Box 3792
APO AE 37945",15,001-895-565-3386x1979,9969.15,Segment_A,Great economy arm process Congress rather.
333,Gary Rivas,"7969 Mcmillan Trace
Port Shannon, MO 69081",14,(399)226-9001x547,5574.45,Segment_B,Security ahead become garden young.
334,Courtney Huff,"53335 Smith Green Apt. 650
East Jennifer, WY 33571",17,+1-840-458-7252x0765,2747.28,Segment_B,Media the important production picture community role risk.
335,Edward Allen,"387 Patterson Rapid
Joshuaton, ID 01328",14,376-770-3019x045,2160.57,Segment_B,Life group sometimes quite learn production.
336,Wayne White,"727 Brian Prairie Suite 079
Tylerchester, MI 51952",19,(372)314-5498x5431,8237.26,Segment_B,Relationship community land participant use bring blue.
337,Gabriel Rich,"60272 Wright Spring Apt. 816
Griffithside, ME 29428",6,357-437-5536x00710,3710.99,Segment_C,Eat make economic draw.
338,Katherine Baxter,"99025 David Vista
Angelaborough, RI 53047",5,407-603-6960x9387,4753.3,Segment_A,Improve around term quality stock land budget.
339,Pamela Lee,"268 Hurst Harbors
East Steven, CO 76152",11,604.337.2523x58838,3259.18,Segment_C,Despite others against street.
340,Christopher Richards,"74782 Bradley Square
West Hannahhaven, ME 75051",10,5093381258,4746.03,Segment_C,Return wind president.
341,Michael Walker,"9546 Christina Villages
North Susanmouth, TX 84540",12,351-311-0914x22184,8801.77,Segment_B,System which edge black air common.
342,David Ochoa,"7106 Theresa Locks
Lake Gina, FM 03217",1,9792596346,2323.65,Segment_B,Simply state foot realize population name matter actually.
343,Lisa Acevedo,"8639 Mendoza Mills
South Sheryl, NH 21953",8,872.622.7608,4527.39,Segment_A,Ask husband everyone reduce record magazine sing find.
344,Teresa Davis,"0105 Walker Trafficway Suite 246
North Jasonbury, HI 33863",20,(925)945-0427,7858.24,Segment_A,Nearly later camera firm nearly can task.
345,Isaac Dougherty,"9035 Elliott Terrace
Lake Lauriefurt, WY 22517",18,(829)340-6123x8538,448.22,Segment_C,Let environment off experience exist bar.
346,Kevin Mills,"USNS Stevens
FPO AA 05515",1,+1-329-970-1199x5605,8506.66,Segment_C,Discussion perform change agency capital down his.
347,Bruce Smith,"222 Robert Brook Suite 644
Lake Kevinburgh, AS 13976",10,(634)348-7678x348,2362.4,Segment_A,A difference discuss hot whether one field push.
348,Andrew Casey,"9215 Courtney Meadows
South Annette, NE 54220",12,001-317-995-1693x2298,8400.02,Segment_A,Whatever price writer play single.
349,Brooke Lam,"264 Dale Fort Suite 637
East Timothy, VT 35185",9,588.965.6942x69557,9888.85,Segment_C,Total tell event center per.
350,Christina Smith,"59608 Martin Fort
New Traceyfort, MD 18119",7,+1-389-431-6904x254,7958.61,Segment_A,Sing management loss forward ball capital behavior.
351,Kelly Hopkins,"96705 Heather Ports
West Jeffrey, DC 85691",16,426-582-8180,8625.22,Segment_A,Right because risk support.
352,Joseph Jensen,"82873 Payne Squares
Kingport, MD 81279",2,001-838-214-7963x63771,4486.6,Segment_B,Accept inside painting country least.
353,Amy Mitchell,"8840 Anthony Square Suite 407
New Brian, AL 89181",2,+1-789-386-8688,285.26,Segment_B,Tv or stay form tough successful when.
354,Annette Lee,"774 Miller Shoals Apt. 804
West Grace, NY 29395",3,(232)785-1531x33622,9646.36,Segment_B,Training piece way I choose hard.
355,Robert Hernandez,"447 Peterson Lane
South Jessicaville, NH 72328",18,001-678-565-9620,5775.21,Segment_B,Buy year help full.
356,Paula Schneider,"1348 Wendy Highway Suite 396
North Nicholasbury, IL 31897",16,237-919-4888x03607,5048.61,Segment_A,School shoulder that.
357,Dylan Turner,"2244 Romero Ramp
Gilmorechester, VT 78317",5,001-925-873-9682x04136,9622.51,Segment_A,Energy your so student suddenly price finally.
358,Emily Jones,"5504 Allen Valley
Riddleburgh, HI 83044",3,(449)937-1877x8529,9828.88,Segment_A,Bank into instead civil.
359,David Vasquez,"4136 Hayes Neck
North Antoniofort, IN 47774",13,(918)933-2200,1964.29,Segment_A,Imagine measure term rest.
360,John Frazier,"9032 Michael Meadows
Lake Tara, NH 27955",13,(474)779-4459x95557,4870.77,Segment_C,Public any you position Mrs others smile great.
361,Tyler Lewis,"47298 Sara Roads Suite 969
North Julieport, WI 74227",9,001-981-612-0926x78413,6054.5,Segment_C,While language already economy world.
362,Alexandra Morgan,"81579 Turner Summit Suite 657
New Kristin, TN 07921",2,953-833-6956,6157.23,Segment_C,Sort million top.
363,Samantha Burnett MD,"2124 Tara Glens
Summersborough, TX 27491",1,921.378.6686x42644,7673.53,Segment_A,She grow figure example.
364,Madison Phillips,"93711 Murphy Canyon Apt. 109
Lake Vanessaburgh, MH 99711",7,001-690-879-6446x246,4278.39,Segment_C,Key hot each because work son.
365,Ray Wilson,"7492 Oneill Lodge Suite 142
Levineport, MN 93587",6,(463)637-8443,2421.79,Segment_A,Mother response return hold effect.
366,Alexa Heath,"76167 Ashley Tunnel
South Michaeltown, CO 26933",1,(252)314-5129x48105,2066.16,Segment_C,Author agent feel between.
367,Gregory Woods,"76575 Morgan Bridge Apt. 539
Lake Heather, RI 16659",20,309-762-1139x791,6207.29,Segment_C,Great yard determine loss show.
368,Angela Sheppard,"9339 Hanson Shores
East Kim, LA 70918",20,673.473.6451x5283,9959.41,Segment_B,Story cut middle when feel learn feel.
369,Troy Ramirez,"636 Brown Turnpike
North Stacyland, TN 57763",17,(475)437-8465x9260,3788.95,Segment_B,Factor foot popular order with.
370,Emma Davis,"5420 Davis Bridge
Nicholeberg, VT 11475",15,001-755-650-8824x1177,2727.99,Segment_B,If ten stay challenge eight across.
371,Anthony Young,"6504 Andrew Hill Suite 878
Petersontown, MO 22724",16,362.748.5923x0743,4644.53,Segment_C,Pull send anyone laugh both.
372,Rebecca Rangel,"0445 Calvin Unions
Gilbertchester, UT 54523",7,924.724.6376x939,9536.98,Segment_B,Such test agent plan that hair look.
373,Christina Jimenez,"7282 Nicholas Ferry
North Brandonshire, MD 25065",9,(863)202-1228x7627,2008.54,Segment_A,Require building there.
374,Marc Price,"USNV Hall
FPO AE 98948",19,970-435-9465,3593.75,Segment_A,Space development now expert any white.
375,Michael Ellis,"178 Brown Junctions
Victoriaside, MD 38834",17,(585)832-4610,8203.33,Segment_B,Consider western tend six difference clearly success subject.
376,Phillip Kelly,"08044 Aguilar Locks Suite 325
Heatherchester, MN 27132",18,(539)598-3640,7653.61,Segment_C,Blue must evening.
377,Diane Mack,"131 Darin Summit Suite 294
Olsonview, NE 93267",7,(727)961-9248,5599.28,Segment_C,Success form whose talk source sit.
378,Suzanne Gomez,"67142 Bryan Garden
Jensentown, FM 87441",16,918.978.4547,4367.97,Segment_C,Maintain place memory material year myself.
379,Jessica Bailey,"200 Matthew Spur
Ryanland, VI 01634",15,+1-750-954-9016x98917,9151.89,Segment_C,Sister strong grow own pull.
380,Erin Long,"781 Morris Freeway Apt. 310
Gloriamouth, PA 25577",19,001-855-815-2889x34226,6441.62,Segment_A,Place before someone specific.
381,Emily Raymond,"65962 Montgomery Ways
North Kathryn, OH 65515",18,(773)932-2028x126,4301.81,Segment_A,Along garden experience American.
382,Casey Jones,"39824 Jones Fort
Shaffershire, AL 49813",5,(312)316-0743x6138,7834.89,Segment_B,Hope evening occur commercial member affect then.
383,Caleb Lucero,"4599 Dana Mountain
Port Susan, LA 86507",14,(328)982-0244,3273.05,Segment_B,Try today agreement already rock.
384,Brandy Kelley,"742 Brian Fort Suite 278
Port Juanfurt, AL 50223",17,001-505-567-6601,2845.68,Segment_A,Produce happen gun partner bad town trial.
385,Ian Padilla,"407 Steven Inlet
Penashire, OH 69165",16,842-664-2963x96850,8981.38,Segment_C,Likely draw perform property entire reality history.
386,Suzanne Sanford,"19719 Yates Track Suite 112
Howardton, DE 99800",19,+1-514-345-0780x034,9079.77,Segment_A,Official education pass floor fill action.
387,Daniel Williams,"USNS White
FPO AA 12584",20,001-879-304-1856,1434.89,Segment_A,Series final window others north.
388,Jaime Craig,"1235 Robinson Stream
Garciabury, OR 44176",13,948-612-4513x808,2176.66,Segment_B,Exactly myself all fall left expert.
389,Andrew Robbins,"Unit 9858 Box 8456
DPO AP 12993",18,427.610.7506,9092.87,Segment_A,Reach part far.
390,Brian Simmons,"PSC 3701, Box 8317
APO AP 13776",6,(472)422-5071x5330,8970.06,Segment_C,Recently fire same edge.
391,Dwayne Beck,"057 Brittany Prairie
North Austin, NE 32854",3,001-235-335-7151,1487.66,Segment_C,Season expert relate grow right.
392,Phyllis Mcdonald,"05681 Angela Fall
North Tina, GU 61051",14,(927)710-6499x6341,575.79,Segment_B,Its write wait country team.
